PROLIFIC_PID,SESSION_ID,STUDY_ID,completionCode,demographics.age,demographics.degree,demographics.sex,demographics.vis_experience,endTime,feedback.overall,feedback.training.explanation,feedback.training.helpful,minutesToComplete,screenSize.availHeight,screenSize.availWidth,screenSize.colorDepth,screenSize.height,screenSize.pixelDepth,screenSize.width,startTime,id
5c56550e54f9d30001db7f50,5d5c12298477cb0018c2df0b,5d5b9a527cf41b0015a069dd,pwypBL,25-39,Masters,Male,5,Tue Aug 20 2019 16:58:02 GMT+0100 (British Summer Time),Great and simple to use. Fast to load. If I were to add something it would be a filter to filter different types of people and sort accounts e.g. by number of followers.,Very simple to understand and clear explanation of how it works.,7,26.95,1080,1824,24,1080,24,1920,Tue Aug 20 2019 16:31:05 GMT+0100 (British Summer Time),5c56550e54f9d30001db7f50
5c918687b138fe0016e40e78,5d5c1214978c5c0015800875,5d5b9b26541db0001730eafb,y0tEvQ,25-39,Masters,Male,5,Tue Aug 20 2019 18:17:30 GMT+0200 (Central European Summer Time),There was a lot of thinking in this study. It was fun and not like normal survey. The study was on high level.,The training videos was very clear and helpful to understand the tasks which I must have done. I really like how everything was described.,6,45.266666666666666,1040,1920,24,1080,24,1920,Tue Aug 20 2019 17:32:14 GMT+0200 (Central European Summer Time),5c918687b138fe0016e40e78
5ca238f0fd2f4e00184ec34c,5d5c1418eacbf2000129afca,5d5b9b26541db0001730eafb,vOmuFM,25-39,Masters,Female,2,Tue Aug 20 2019 17:23:11 GMT+0100 (Hora de verão da Europa Ocidental),I feel I would've benefited from maybe having the option to rewatch the videos which I guess would happen ins a normal context. It is easier to learn something when you are solving a problem and applying the knowledge knowing exactly its use. My biggest issue was actually related to the wording of some questions and not being certain I was replying with what was asked. But I tried to respond to the best of my knowledge taking into account what I understood (I also mentioned if I was afraid of having misunderstood the question please believe me it was not willful lack of attention but genuine confusion!),The videos were really useful. I feel like it would have been impossible for me to answer some of the questions without them.,7,40.81666666666667,1080,1920,24,1080,24,1920,Tue Aug 20 2019 16:42:22 GMT+0100 (Hora de verão da Europa Ocidental),5ca238f0fd2f4e00184ec34c
5cf9179b8c98dc0001d5a431,5d5c1425c43479000165ad9e,5d5b9a527cf41b0015a069dd,jEgV8q,25-39,Bachelors,Male,4,Tue Aug 20 2019 19:17:32 GMT+0300 (Θερινή ώρα Ανατολικής Ευρώπης),Very interesting study to complete ,The training videos were very well made simple and understandable.,7,34.3,1040,1920,24,1080,24,1920,Tue Aug 20 2019 18:43:14 GMT+0300 (Θερινή ώρα Ανατολικής Ευρώπης),5cf9179b8c98dc0001d5a431
5d37016fb3fa9f00011456bc,5d5c121588a9e10001b75535,5d5b9b26541db0001730eafb,0060sg,18-25,High School,Male,5,Tue Aug 20 2019 16:56:29 GMT+0100 (British Summer Time),It was a very interesting study.,The description of the data that was meant to be useful I found to be more confusing. I gradually feel like I got the hang of it and was able to interpret the data.  Although I didn't really understand what was meant by 'edges' I feel like I was able to work my way through the tasks.,3,25.566666666666666,1040,1920,24,1080,24,1920,Tue Aug 20 2019 16:30:55 GMT+0100 (British Summer Time),5d37016fb3fa9f00011456bc
5d42aeee93d00000191ff004,5d5b9eece1b0d50016af4bb9,5d5b9b26541db0001730eafb,egxfK4,18-25,Bachelors,Female,2,Tue Aug 20 2019 10:01:00 GMT+0200 (Central European Summer Time),I believe there were not enough explanations about cluster and neighbor.,,1,40.916666666666664,877,1440,24,900,24,1440,Tue Aug 20 2019 09:20:05 GMT+0200 (Central European Summer Time),5d42aeee93d00000191ff004
5d449accde2d3a001a707892,5d5c12127c33eb0019bf3d1c,5d5b9b26541db0001730eafb,LQeaAY,18-25,Other,Male,1,Tue Aug 20 2019 11:57:39 GMT-0500 (hora de verano central),I have to pay close attention,,7,82.61666666666666,860,1600,24,900,24,1600,Tue Aug 20 2019 10:35:02 GMT-0500 (hora de verano central),5d449accde2d3a001a707892
5d5977eca69ee60001437635,5d5c2458173215001b04d877,5d5b9b26541db0001730eafb,UwOJZ0,18-25,High School,Male,5,Tue Aug 20 2019 19:28:25 GMT+0200 (czas środkowoeuropejski letni),none,very good video,7,36.016666666666666,1040,1920,24,1080,24,1920,Tue Aug 20 2019 18:52:24 GMT+0200 (czas środkowoeuropejski letni),5d5977eca69ee60001437635
5d5ab4ce4fe3e600154c55c0,5d5b9eddf328ff00016d697d,5d5b9a527cf41b0015a069dd,VV9c77,25-39,High School,Male,4,Tue Aug 20 2019 10:13:58 GMT+0200 (Ora legale dell’Europa centrale),It was a nice visualization but it needs more tools for more specific searches overall seemed usefull,,5,53.1,1040,1920,24,1080,24,1920,Tue Aug 20 2019 09:20:52 GMT+0200 (Ora legale dell’Europa centrale),5d5ab4ce4fe3e600154c55c0
5d5b8fe3af6787001a09c9ec,5d5b9bd527fcce0001c4722b,5d5b9a527cf41b0015a069dd,5bb9fw,25-39,Bachelors,Female,3,Tue Aug 20 2019 02:01:23 GMT-0600 (Mountain Daylight Time),Overall I think the experience was fine and the interaction was a bit fun.,The training video was helpful I actually found the test question section to be the most difficult. The questions themselves were fine but the tutorial showing how to use the interface has some flaws such as windows that appear off screen.,5,51.96666666666667,960,1500,24,1000,24,1500,Tue Aug 20 2019 01:09:25 GMT-0600 (Mountain Daylight Time),5d5b8fe3af6787001a09c9ec
